gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,-1.280157004,0,0,0,0,1,0,0,0,0,0,1,0,-1.161611332,-0.994123395,0
0,0,0,0,0.064298113,1,0,0,1,0,1,0,0,0,1,0,1,-0.26085937,-0.173727464,0
0,0,0,0,-1.239415939,1,0,0,1,1,0,0,0,0,0,1,1,-0.363897417,-0.959580872,1
0,0,0,0,0.512449818,0,0,0,1,0,1,1,0,0,1,0,2,-0.747797239,-0.195233824,0
1,0,0,0,-1.239415939,1,0,0.5,0,0,0,0,0,0,0,1,0,0.196164227,-0.940390582,1
1,0,0,0,-0.994969555,1,1,0.5,0,0,1,0,1,1,0,1,0,1.158406636,-0.645323329,1
0,0,0,1,-0.424594657,1,1,0.5,0,1,0,0,1,0,0,1,3,0.807744895,-0.147302214,0
1,0,0,0,-0.913487426,0,0,0,1,0,0,0,0,0,0,0,1,-1.16493514,-0.874106879,0
1,0,1,0,-0.180148272,1,1,0.5,0,0,1,1,1,1,0,1,0,1.329582747,0.336491616,1
0,0,0,1,1.205047909,1,0,0,1,1,0,0,0,0,1,0,2,-0.287449834,0.531438494,0
0,0,1,1,-0.791264234,1,0,0,1,0,0,0,0,0,0,1,1,-0.493525928,-0.748134756,0
0,0,0,0,-0.669041042,1,0,1,0,0,0,0,0,0,2,0,3,-1.523906401,-0.863122092,0
0,0,1,0,1.042083652,1,1,0.5,0,0,1,0,1,1,1,0,3,1.181673292,1.498959982,0
0,0,0,0,0.675414075,1,1,0.5,0,1,1,0,1,1,0,1,2,1.293020859,1.214502532,1
0,0,0,0,-0.302371464,1,0,0.5,1,0,1,1,1,1,0,1,0,1.352849403,0.177675422,0
1,0,1,1,1.490235358,1,1,0.5,1,1,1,1,1,1,2,0,3,1.610444521,2.475701632,0
1,0,0,0,0.797637267,1,0,1,0,0,0,0,0,0,1,0,1,-1.467401666,-0.556011278,0
0,0,0,1,1.571717486,1,1,0.5,1,0,1,0,1,1,2,0,2,1.392735099,2.249432671,0
1,0,1,1,-0.913487426,1,0,0,0,0,1,1,0,0,0,0,3,-0.31902601,-0.774207082,1
1,0,0,0,-0.465335721,1,0,0.5,0,1,1,0,0,1,0,1,0,0.839321071,-0.185462216,0
0,1,0,0,-1.280157004,0,0,0,0,0,1,0,0,1,0,1,0,-0.83587815,-0.989800065,1
0,0,1,0,-0.832005298,1,0,1,0,0,0,0,0,0,1,0,2,-1.495654033,-0.918068084,0
0,0,0,0,-1.280157004,1,0,1,0,0,0,0,0,0,0,0,1,-1.484020706,-0.998402609,1
1,0,1,0,1.042083652,1,1,0,0,1,0,1,0,0,2,1,3,-0.162807035,0.539004321,0
0,0,1,1,0.675414075,1,0,0,1,1,0,1,0,0,0,0,3,-0.172778459,0.303074042,0
1,0,0,0,-0.098666144,1,0,0,1,1,0,0,0,0,0,1,2,-0.315702202,-0.332058386,0
0,0,1,1,0.593931947,1,1,0.5,0,1,0,0,1,1,0,1,0,1.148435212,1.08782456,1
0,0,1,1,-1.280157004,0,0,0,0,1,0,0,0,0,0,0,0,-1.149978004,-0.99396899,1
0,0,1,0,1.61245855,1,1,0,1,1,1,1,1,1,2,1,3,0.845968687,1.802629779,0
1,0,0,1,-0.628299977,1,0,0,0,0,0,0,1,1,0,1,1,-0.003264252,-0.525064178,1
1,1,1,0,1.571717486,1,1,0.5,1,1,1,1,0,0,2,1,3,1.048720973,1.977989326,0
